,gain
B_18__std,8.395093441009521
B_9__min,8.382479071617126
R_13__std,8.382165312767029
R_25__std,8.380614280700684
R_15__std,8.380525827407837
B_8__max,8.371733665466309
D_71__mean,8.366688251495361
D_107__max,8.365271091461182
R_12__min,8.343199491500854
S_7__min,8.34186589717865
D_71__min,8.341058135032654
S_3__roll3_std__last,8.338971376419067
D_78__max,8.33742606639862
B_7__mean,8.334412097930908
D_72__min,8.333176374435425
R_10__std,8.32580578327179
D_78__last,8.320311069488525
D_72__std,8.31990897655487
D_80__std,8.317431807518005
D_104__last,8.314653038978577
R_8__max,8.305777549743652
R_2__prev__last,8.304315090179443
D_144__min,8.299984812736511
D_55__last,8.294981241226196
B_16__max,8.293878316879272
B_23__max,8.283830523490906
D_120__top1freq,8.282746195793152
B_6__last,8.27547013759613
D_74__max,8.271158456802368
D_48__mean,8.265107154846191
R_5__std,8.25419306755066
B_25__min,8.253725290298462
D_84__max,8.251181960105896
B_41__last,8.250121355056763
R_2__std,8.24942660331726
R_4__delta_pct__last,8.248390078544617
R_3__roll3_std__last,8.232385516166687
D_141__last,8.22523319721222
D_144__max,8.221240162849426
S_3__delta__last,8.22030794620514
R_8__std,8.217186570167542
D_77__max,8.212014436721802
B_40__mean,8.211313843727112
B_23__min,8.205616116523743
S_24__min,8.205361127853394
D_44__prev__last,8.20310378074646
D_113__min,8.19569194316864
S_24__std,8.195216059684753
D_145__std,8.192952513694763
B_9__std,8.184194564819336
B_38__nuniq,8.178091168403625
B_6__min,8.177289605140686
R_25__mean,8.176155090332031
D_77__last,8.172177910804749
B_25__last,8.16915225982666
D_140__min,8.16770601272583
D_139__mean,8.15819776058197
B_22__std,8.156766533851624
P_4__max,8.15364122390747
R_17__std,8.15230667591095
D_80__max,8.143358588218689
D_48__max,8.137258172035217
B_6__delta_pct__last,8.134361624717712
D_130__max,8.131672978401184
D_91__last,8.126781940460205
R_14__max,8.12268316745758
D_89__std,8.122517704963684
R_1__delta__last,8.116945385932922
S_22__mean,8.114797115325928
D_69__last,8.114744067192078
D_104__min,8.113871812820435
B_25__std,8.113713383674622
R_7__std,8.111940383911133
D_118__std,8.097535729408264
R_13__max,8.090494155883789
R_4__delta__last,8.086586356163025
B_5__delta_pct__last,8.082009553909302
R_16__last,8.081989288330078
D_44__roll3_std__last,8.081080555915833
P_2__delta__last,8.080038189888
D_71__std,8.077833414077759
B_6__std,8.072619557380676
D_71__max,8.070624113082886
B_2__delta__last,8.070199489593506
B_24__std,8.061203837394714
R_8__last,8.060089468955994
B_6__mean,8.056150317192078
D_115__std,8.046553492546082
D_103__max,8.044567227363586
D_62__std,8.043979406356812
S_18__std,8.042457938194275
D_145__min,8.041940689086914
S_6__last,8.03813087940216
B_19__last,8.032897710800171
B_10__mean,8.029314160346985
R_7__mean,8.024760127067566
D_143__last,8.020060539245605
D_130__std,8.012654066085815
B_19__mean,8.012009739875793
D_83__min,8.011863589286804
D_39__delta_pct__last,8.011730909347534
R_15__mean,8.008561611175537
D_119__std,8.007330656051636
P_3__roll3_std__last,8.005751609802246
D_141__std,7.997936487197876
D_83__std,7.996817111968994
D_112__max,7.993314504623413
P_4__last,7.991217494010925
D_131__min,7.988550543785095
S_15__std,7.986630201339722
B_22__max,7.986342430114746
D_58__max,7.981957197189331
R_25__min,7.980138778686523
R_15__max,7.979795455932617
D_70__min,7.975476145744324
D_94__mean,7.969812512397766
D_84__mean,7.969223260879517
D_78__mean,7.9681572914123535
B_6__roll3_std__last,7.9611324071884155
D_144__last,7.952057838439941
R_8__mean,7.949875116348267
D_96__mean,7.948221206665039
R_6__std,7.9447972774505615
D_143__mean,7.943170785903931
D_109__std,7.942947864532471
B_41__min,7.942766904830933
B_33__std,7.94270396232605
D_143__min,7.942181825637817
D_103__mean,7.940568685531616
R_2__delta_pct__last,7.93940794467926
S_18__max,7.937507748603821
D_113__last,7.935501933097839
B_30__nuniq,7.935131669044495
R_22__std,7.932765960693359
D_124__std,7.9317580461502075
D_80__min,7.931676864624023
D_75__mean,7.9316335916519165
R_24__mean,7.9292731285095215
S_25__mean,7.928244590759277
D_55__max,7.926984786987305
R_14__mean,7.924870252609253
D_89__max,7.921867489814758
R_21__max,7.919731140136719
D_91__std,7.914550304412842
R_13__min,7.91318941116333
D_122__std,7.9123677015304565
D_74__min,7.911448001861572
R_21__last,7.905768871307373
D_58__std,7.903358817100525
D_93__min,7.902297496795654
D_74__mean,7.898395419120789
D_102__last,7.894042611122131
D_96__min,7.891374588012695
B_6__delta__last,7.888266682624817
B_13__std,7.886849999427795
S_8__std,7.883255481719971
D_59__min,7.878487944602966
D_79__min,7.8754962682724
D_130__mean,7.87269651889801
R_5__mean,7.871663331985474
D_96__std,7.871156454086304
D_81__min,7.87076723575592
R_3__delta_pct__last,7.866296052932739
R_1__delta_pct__last,7.8600088357925415
R_6__mean,7.856155276298523
R_17__min,7.855432629585266
B_20__max,7.8548502922058105
B_6__prev__last,7.852943778038025
R_4__roll3_std__last,7.852906227111816
D_86__max,7.85209846496582
B_38__top1freq,7.851546406745911
R_24__min,7.846923828125
R_18__min,7.846688508987427
D_130__last,7.84663450717926
D_92__last,7.845887660980225
B_24__max,7.844942569732666
R_20__std,7.843196988105774
B_33__last,7.842735171318054
B_41__mean,7.840528845787048
D_113__std,7.839054703712463
R_22__max,7.837536454200745
D_103__std,7.834008097648621
R_17__max,7.831135392189026
D_102__mean,7.829499125480652
B_27__min,7.828935861587524
D_77__std,7.827833771705627
D_81__last,7.826237440109253
B_12__std,7.823516011238098
D_54__min,7.819731950759888
S_27__last,7.812419295310974
R_18__std,7.811423897743225
R_20__min,7.810734748840332
D_69__std,7.805262088775635
D_96__max,7.804973483085632
R_18__max,7.800410747528076
B_2__delta_pct__last,7.7953678369522095
R_3__std,7.7922409772872925
D_141__mean,7.791043162345886
D_84__last,7.7904945611953735
D_69__min,7.787341833114624
D_125__last,7.786644339561462
D_140__mean,7.783778786659241
B_4__min,7.7831608057022095
B_33__max,7.7814109325408936
R_24__last,7.778718113899231
D_65__min,7.776092529296875
B_28__std,7.770062446594238
B_36__min,7.7678656578063965
D_107__mean,7.7675621509552
R_27__std,7.764665842056274
R_2__delta__last,7.761850476264954
