,gain
D_39__min,1839.2277727127075
R_4__roll3_std__last,1837.6964964866638
S_18__max,1836.3595600128174
B_6__prev__last,1835.1939306259155
R_7__std,1830.4327840805054
S_16__min,1830.3617997169495
D_81__std,1827.9371185302734
R_25__mean,1826.5138092041016
D_143__max,1826.0378875732422
R_14__mean,1825.6371059417725
B_18__max,1823.0536031723022
B_40__min,1820.9898176193237
D_86__max,1818.8628215789795
R_10__min,1818.7355785369873
R_2__delta_pct__last,1812.3102550506592
R_13__max,1808.5292711257935
R_2__mean,1805.5112867355347
S_17__std,1804.0005989074707
D_144__max,1799.5328030586243
D_86__mean,1797.2455863952637
D_92__mean,1796.859076499939
D_133__min,1791.4409008026123
D_115__min,1788.2819652557373
R_10__mean,1786.0903806686401
B_27__min,1783.324125289917
R_18__std,1781.6714687347412
S_20__last,1780.288498878479
B_4__min,1775.6361074447632
R_5__min,1774.7803564071655
D_128__std,1763.8588290214539
R_13__mean,1760.4440565109253
D_80__std,1759.5496368408203
D_119__max,1759.361596107483
D_127__max,1755.9987936019897
R_2__max,1754.9101037979126
B_20__mean,1753.0414419174194
B_12__min,1751.9328689575195
R_28__max,1745.0021572113037
S_20__max,1744.6263990402222
R_6__min,1740.3421068191528
R_4__min,1738.015435218811
B_27__last,1736.131278038025
R_8__std,1735.0543489456177
D_102__mean,1734.506944656372
S_17__min,1734.1294450759888
D_139__mean,1733.489673614502
D_94__min,1731.5992360115051
S_20__min,1730.3483839035034
D_89__min,1730.2469997406006
D_131__min,1722.9583082199097
B_14__max,1722.4394884109497
D_74__max,1720.166693687439
R_18__mean,1718.6197109222412
D_89__max,1714.0866479873657
P_4__mean,1707.127137184143
B_11__mean,1705.6354084014893
D_89__mean,1703.522946357727
D_139__std,1697.825743675232
S_19__mean,1694.5976572036743
B_6__roll3_mean__last,1682.7607069015503
D_125__mean,1682.4796056747437
R_28__std,1681.5112943649292
R_4__max,1681.4348907470703
D_81__mean,1681.3606185913086
R_5__max,1680.519534111023
D_113__mean,1679.3735389709473
D_92__last,1671.3347253799438
D_103__max,1670.9810166358948
D_127__min,1666.3722801208496
R_17__max,1666.1862268447876
R_23__max,1664.8949570655823
R_11__max,1664.8768577575684
R_24__max,1662.7800040245056
D_109__mean,1662.2903118133545
R_8__max,1662.182472229004
D_55__max,1659.7514533996582
D_94__mean,1657.5504579544067
R_11__min,1657.3021392822266
D_74__last,1656.3398885726929
R_17__std,1653.8573160171509
D_84__mean,1652.8466234207153
B_22__std,1651.2976922988892
S_19__max,1650.9963054656982
D_96__min,1650.1368045806885
D_86__min,1648.58890914917
B_16__last,1647.4921975135803
B_25__std,1644.7873516082764
D_81__max,1642.7113513946533
D_104__last,1639.3874979019165
R_20__std,1639.3617582321167
R_10__std,1637.5231819152832
D_93__max,1631.2666845321655
B_25__mean,1629.6929006576538
D_71__std,1629.4101657867432
R_7__mean,1626.2843351364136
R_1__delta_pct__last,1623.9507789611816
R_6__mean,1619.0690593719482
R_10__max,1616.5424890518188
B_2__max,1613.823829650879
B_32__max,1610.0054626464844
B_4__mean,1609.6262998580933
D_93__mean,1604.740629196167
B_19__max,1602.5508222579956
D_80__max,1601.551386833191
R_24__min,1595.6546006202698
D_75__min,1593.9353971481323
R_4__delta_pct__last,1590.8036289215088
B_2__delta__last,1584.3850107192993
B_10__mean,1582.5185203552246
R_5__mean,1580.030870437622
B_24__max,1576.1414461135864
D_74__mean,1572.5026226043701
B_1__max,1568.634108543396
B_25__max,1564.8909826278687
D_58__min,1563.5747241973877
B_33__max,1563.5642518997192
B_28__max,1558.1238360404968
D_118__std,1552.9621686935425
B_1__roll3_mean__last,1544.3480033874512
D_75__mean,1530.3252334594727
P_3__delta_pct__last,1524.7560472488403
D_93__min,1524.725938796997
R_12__max,1517.7472019195557
R_23__mean,1512.1751899719238
R_24__std,1504.8593711853027
B_11__max,1487.8910074234009
B_20__max,1482.2398705482483
B_6__max,1481.2199697494507
